daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 120 cm,37.31920731203411,36.12240466644721,31.528360866577998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.97707502533001,27.198889757638483,28.2794959557163,31.42215121214042,33.564092244907954,35.60484786537609,36.86718088422634,37.52636232540698,37.816961806930465,37.91549421937418,37.76925870628014,
temp on shaded tree while standing at the height of: 138 cm,37.216351570971085,36.09876024500227,31.50582141142735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.991902316503,27.11710661755103,28.28283439598158,31.240604353645892,33.32256207714943,35.3198621644932,36.543632862845925,37.192518356999415,37.51508929897483,37.65561279286766,37.57952783208424,
temp on shaded tree while standing at the height of: 156 cm,37.11142642554046,36.066623555702336,31.48370036262702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.00524881970648,27.059487225480325,28.278167675748023,31.07366664156865,33.10760386561958,35.07146955761914,36.258803149336416,36.90735819159818,37.23905417064918,37.421639539545765,37.407202370504024,
temp on shaded tree while standing at the height of: 174 cm,37.02509808810771,36.053004175874605,31.45682661069378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.023329689560853,26.995730942191813,28.298934172899123,30.93036672142324,32.91942280211805,34.82897514624818,35.99120414228207,36.629797775054044,36.98059799526743,37.20545440721594,37.242167228620985,
temp on shaded tree while standing at the height of: 198 cm,36.91543017821874,36.01927947040167,31.435414189894686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.049128690276348,26.94119609317727,28.306345854610697,30.75351395177904,32.68091094665317,34.54662397497589,35.67865058825487,36.306110655109705,36.679951691192684,36.949431212402146,37.04920239739016,
temp on open tree while lying at the height of: 3 cm,47.423983340044515,42.63024419980934,32.349284111448355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.466126492979868,38.10509639484138,42.658944930672874,45.21355243401143,46.38211241068552,46.78756879333969,46.51314985637765,47.4049785529632,49.14473685201949,50.08242808702238,49.6063841110265,
temp on open tree while lying at the height of: 12 cm,46.92944749252149,42.3927467036774,31.704068565153648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.836424963413208,37.01392568499409,41.28104578924837,44.05053145924296,45.32363577946114,45.777324835320826,45.48721625075933,46.37235209237258,48.16685415996301,49.201549175810044,48.883811990965,
temp on open tree while lying at the height of: 21 cm,46.49700509234776,42.199889043993835,31.555519409566443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.620429819030278,36.501127934730675,40.49808404432429,43.23400705299167,44.444312272474406,44.84497133680492,44.50695554782544,45.38962649683998,47.23272884939655,48.38437096484773,48.24107154929328,
temp on open tree while lying at the height of: 30 cm,46.161061857109814,42.05306845043776,31.464865921177534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.495672085595174,36.14638975938692,39.936395516837365,42.61203406115692,43.758191193654625,44.10460786176037,43.73055000498874,44.615958517341426,46.49868802884964,47.74191979831721,47.72785997451081,
temp on open tree while lying at the height of: 48 cm,45.64453395153242,41.821636387010926,31.336968697554767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.355425205066638,35.66767357264479,39.136490838502766,41.69558361007023,42.71406392140585,42.97051261735453,42.54826140332108,43.426105833471695,45.381226742216086,46.75657832155218,46.95952399731635,
temp on open tree while lying at the height of: 66 cm,45.25936822477206,41.64953372479107,31.253957995517567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.265565309295084,35.33095187841195,38.560922531475285,41.01778965995135,41.92785899017389,42.113266482920665,41.63073776056905,42.5134601396565,44.523139530396065,46.00887312560002,46.37142309177705,
temp on open tree while lying at the height of: 84 cm,44.93973797934166,41.513499680574455,31.18423102247914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.212005641437543,35.073298433984576,38.09742250382078,40.46878860578812,41.2944401833625,41.41034698854304,40.894942862116125,41.777971161834444,43.82234157911779,45.40752340543645,45.89030483674401,
temp on open tree while lying at the height of: 102 cm,44.67225520632883,41.392572862516715,31.128257994265653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.163004072612296,34.85174308471767,37.717438806469715,40.010938770343444,40.7541763968934,40.81070905803659,40.26582562805305,41.150606197963555,43.22868821251279,44.88763242199519,45.487960887336726,
temp on open tree while lying at the height of: 120 cm,44.441155613706144,41.29683264256158,31.081126086926645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.123268596257503,34.67570137345473,37.391291953111306,39.60801845873863,40.28922884986474,40.29903682973088,39.72823844636616,40.60539294025125,42.71515920986832,44.43989587545116,45.13464599610484,
temp on open tree while lying at the height of: 138 cm,44.23516079560943,41.205976649626166,31.043201931028932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.098262211863926,34.511130152573685,37.10592711226917,39.25818904501659,39.87619685121109,39.84117280502056,39.23794007224893,40.11622037135487,42.266123087659594,44.04741506723161,44.82052891507374,
temp on open tree while lying at the height of: 156 cm,44.056402857721764,41.120804541985365,31.01011027767447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.07426483705956,34.37298419534153,36.84381240592876,38.94342526816115,39.503804989571165,39.425215449407006,38.81005764998116,39.67968840116697,41.8509915162428,43.688857582323294,44.541284978325166,
temp on open tree while lying at the height of: 174 cm,43.88269307061222,41.04980052894513,30.976923993285936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.050710554077227,34.24058089343572,36.6182785738917,38.66050664064676,39.16607299250211,39.05426539054389,38.4111683441015,39.28191397906238,41.48229407501975,43.35872409127427,44.28230403608541,
temp on open tree while lying at the height of: 198 cm,43.67996180970027,40.961040408074325,30.938553853831365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.02247085970555,34.100321535519186,36.33781548238335,38.31641436101421,38.759841399276695,38.60303706705582,37.92607826440127,38.80719662128166,41.031401302377844,42.96733314514597,43.97326270808844,
temp on open tree while standing at the height of: 3 cm,45.15266664029491,40.963432667382676,33.20072456511235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.904159799246656,36.24619291733762,40.04142397190225,42.75071474331986,44.46842328679037,45.78372016027606,46.317923057189205,47.12483089025267,48.099665930387914,48.322824906577694,47.403702821057266,
temp on open tree while standing at the height of: 12 cm,44.88009550090908,40.83065113161325,32.3547217007345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.895157130323582,34.90543604020837,38.80016957256396,41.83077255812975,43.81802788545485,45.24391552816047,45.76696796624583,46.56174396721866,47.572239669308374,47.83813064868315,46.998832342444814,
temp on open tree while standing at the height of: 21 cm,44.45150650406498,40.64352315997684,32.17114165451244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.5408364405651,34.26909639316517,38.001317254128935,40.98622661911406,42.93487311853505,44.3022774976792,44.76083607798398,45.552143745206024,46.61506966141246,47.00625068520884,46.35133917387583,
temp on open tree while standing at the height of: 30 cm,44.092322645885076,40.4900575122914,32.058780151705434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.333517286924348,33.82469006985775,37.40796161994325,40.30778525240652,42.1956182146198,43.49580030863848,43.90604307079741,44.70006729983936,45.808517805621875,46.30368947266243,45.79373853771307,
temp on open tree while standing at the height of: 48 cm,43.51485925438533,40.236175239629574,31.90093706183609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.094475972865382,33.22313350234532,36.54183012988801,39.27542653142615,41.02441104419319,42.20787757394203,42.5506885176365,43.33408621585846,44.53034483217448,45.1812759206702,44.925429175764805,
temp on open tree while standing at the height of: 66 cm,43.071840394102594,40.041638580883046,31.79750613391758,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.94044325090198,32.79864432355396,35.90819679839893,38.4936809513909,40.1176715830814,41.20725916838467,41.46828973177168,42.25764723613747,43.5214725321743,44.305833635793704,44.24093518456391,
temp on open tree while standing at the height of: 84 cm,42.69784100435419,39.885064205205424,31.711272055046948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.844001142534353,32.47229266817487,35.389471907510085,37.85200716302228,39.37572332352829,40.373349339181345,40.58791343316386,41.376842003085926,42.68429725418781,43.590860837105424,43.67187876583387,
temp on open tree while standing at the height of: 102 cm,42.381519623132874,39.74424655511979,31.640660905597315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.758764518398948,32.18999966002377,34.96300037373629,37.31205496762976,38.736413892472456,39.65458121702022,39.8273435256329,40.61811500673224,41.968294240501166,42.966156023774545,43.19129734124613,
temp on open tree while standing at the height of: 120 cm,42.10598341011092,39.63180522776531,31.582963648368434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.68934659393392,31.967673133331914,34.59388571761485,36.83348685577812,38.1819801153124,39.0369231768604,39.17286100791432,39.95404727935363,41.34433509435769,42.42421094426743,42.76595205304966,
temp on open tree while standing at the height of: 138 cm,41.85888782507607,39.52438957733864,31.536496629193607,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.641464630189205,31.757763668492373,34.269414636274576,36.415657439208644,37.68662072605514,38.4809899969012,38.572589955654905,39.354905862555995,40.795804073203556,41.94648304651781,42.385564289111585,
