daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp on open tree while lying at the height of: 174 cm,6.380389711908606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5624288936155608,7.398011327032634,11.612886715116304,14.84311472577565,16.952805882783878,19.14822275635703,20.47163699165941,20.657812939520113,18.957938079369683,
temp on open tree while lying at the height of: 198 cm,6.277914108855555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5374108690917296,7.341617455917913,11.544467929753353,14.777443926097305,16.916588937982624,19.04498088171431,20.388951020927436,20.593978697907687,18.940209319989663,
temp on open tree while standing at the height of: 3 cm,7.674059728917655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.03383882176189,6.2972061063711635,9.893967220557784,12.475706114272782,13.780302665955674,16.841455549182626,17.98225371204063,17.78171146244091,15.948133435418185,
temp on open tree while standing at the height of: 12 cm,6.825627271268104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33663205423209774,6.046612935390897,10.142886486527289,13.263825770982294,14.885370953573272,18.133997036999176,19.31200404950846,19.01043196697833,16.90342691905562,
temp on open tree while standing at the height of: 21 cm,6.40940908604972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0702271379936974,5.8817121219923365,10.104722219340033,13.379967407744346,15.14577109148098,18.346765926564842,19.542474815486514,19.254988087932645,17.156734819247447,
temp on open tree while standing at the height of: 30 cm,6.121252220301471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08823033215253417,5.767384332930931,10.027950332960188,13.39394721743281,15.270887509348995,18.399873733496463,19.611453162148848,19.356466361732714,17.268348229126275,
temp on open tree while standing at the height of: 48 cm,5.7206741367828045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.29118860518218526,5.587194496679501,9.896570156144662,13.359757472295996,15.362051398800702,18.352087005075703,19.587306023611006,19.39495999567407,17.38035558313544,
temp on open tree while standing at the height of: 66 cm,5.436796034851511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.42081873340174525,5.451610612914578,9.77208011687128,13.295415861890945,15.390421570406204,18.260654646242415,19.517446018648627,19.374335416576173,17.42120816165567,
temp on open tree while standing at the height of: 84 cm,5.205169434076765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.511908313429501,5.340663146991176,9.661557141713956,13.214770015089584,15.396015432333115,18.158130908091493,19.4234788940596,19.33398898799328,17.43823344351523,
temp on open tree while standing at the height of: 102 cm,5.018809604531043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5936439261823239,5.256517902855649,9.56922638016897,13.147367443518021,15.392214904996024,18.050516010098875,19.34415277938666,19.2920094778691,17.44196702736059,
temp on open tree while standing at the height of: 120 cm,4.871648599874277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6622032536166671,5.172330685005591,9.478625091703407,13.081720950702561,15.374121861897493,17.95181008323874,19.257444752354502,19.24241089155271,17.446611009956143,
temp on open tree while standing at the height of: 138 cm,4.7337904487600895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.7063372625374882,5.102706783665155,9.406481924433535,13.027393565533885,15.359015629633973,17.855809667017184,19.16670669644469,19.189434009314596,17.43912097843605,
temp on open tree while standing at the height of: 156 cm,4.618266372842186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.7556954519083092,5.047356924741678,9.328049526717564,12.97258276676979,15.328555880258932,17.775407717737096,19.09421594822328,19.141407980914835,17.430601198206432,
temp on open tree while standing at the height of: 174 cm,4.506202805393002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8017188441983194,4.992494646006776,9.259642025126652,12.906649464269492,15.316192811309406,17.694582615254603,19.006691793968002,19.097055836589902,17.426596700044342,
temp on open tree while standing at the height of: 198 cm,4.368567515586847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8407596588089064,4.919727644569832,9.176293071676923,12.831864221979572,15.281955482920011,17.578498657174748,18.918164058878062,19.031404572394706,17.41690916451182,
