daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp on open tree while lying at the height of: 120 cm,-2.9334090757582203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.028974548915869,0.7928400211112034,4.911490208128612,7.297313899881772,8.586864641471493,9.449055319567947,10.016042947003768,9.736559321578682,7.836228554677916,
temp on open tree while lying at the height of: 138 cm,-3.060931453762521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.125931440147951,0.6924721969829761,4.762740351952004,7.132560557170052,8.428933276472492,9.316437203807538,9.918608828556103,9.69064232577,7.797175450532279,
temp on open tree while lying at the height of: 156 cm,-3.1688089530258594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.2060215249401836,0.5964412093155147,4.6229717374762345,6.983964833281448,8.285388880447044,9.187082858090662,9.824236726855645,9.639148465030303,7.763803972815083,
temp on open tree while lying at the height of: 174 cm,-3.264595031853105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.28203915029377,0.5109977651479767,4.50231213415492,6.842564365690009,8.147881670150355,9.080731963255744,9.743292048923934,9.602748590762474,7.737259779843953,
temp on open tree while lying at the height of: 198 cm,-3.3819169571046928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.366390612416922,0.4103371549175563,4.356365687412676,6.6778431749497145,7.998170451886779,8.946196843788812,9.645180806959331,9.55796108746506,7.694111879945865,
temp on open tree while standing at the height of: 3 cm,-0.384531210675334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.281358040214172,0.8796378357319554,4.841673306848918,7.172328623747319,8.168924018562507,8.49793688227669,8.348747626603199,7.4125025345323365,5.9651112341509815,
temp on open tree while standing at the height of: 12 cm,-1.5075188946514118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.427495052518736,0.0850938024707375,4.298224802244533,6.818845725500637,7.970887567486045,8.507453140722248,8.518728727267955,7.6566294250334295,6.094128394715597,
temp on open tree while standing at the height of: 21 cm,-2.0412374055088094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.9215934067522085,-0.32356154731053266,3.894573437198062,6.427954938344158,7.6544926515894645,8.283381766266984,8.41268018607451,7.649413739806619,6.065304177531914,
temp on open tree while standing at the height of: 30 cm,-2.389276440620449,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.238395965062011,-0.6062265639274074,3.5815584382299903,6.12134770297331,7.378990999202244,8.077359886235456,8.287414277293806,7.614729405965875,6.032862637878054,
temp on open tree while standing at the height of: 48 cm,-2.8754295339545592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.656690428128343,-0.9980124361008507,3.1081575515122495,5.634121994401596,6.940306952035257,7.7352812642374715,8.069514835337259,7.53240445052387,5.953314568962128,
temp on open tree while standing at the height of: 66 cm,-3.2206729562146847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.952659056553841,-1.2788475056911466,2.7632020058382523,5.257932281753028,6.606686932235789,7.453384843173183,7.883128958527891,7.45936625920865,5.8891165502397484,
temp on open tree while standing at the height of: 84 cm,-3.482326588560454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.1648037823412665,-1.4999929360917577,2.469816582941519,4.956509456864296,6.324770203209084,7.220951829244825,7.72798386729221,7.388987888481552,5.832518405339556,
temp on open tree while standing at the height of: 102 cm,-3.7029184890147917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.342704748452604,-1.6776927599455576,2.233743556140155,4.6937906771342455,6.083896239391038,7.022124829517907,7.594844283267037,7.331480314841144,5.782524010353313,
temp on open tree while standing at the height of: 120 cm,-3.8789646031286793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.486369623401401,-1.8329607992647539,2.030312559188417,4.465880780400653,5.872369932471827,6.848347801091165,7.475855234974745,7.279251781362973,5.734926986824348,
temp on open tree while standing at the height of: 138 cm,-4.04276803497072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.617974699384149,-1.9624436318256926,1.8468082988399033,4.265920969949832,5.6845845878085015,6.695041485250044,7.366726329942878,7.231176108705597,5.692247862109468,
temp on open tree while standing at the height of: 156 cm,-4.1828715490170225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.727464074600334,-2.085570020333705,1.6740255457118565,4.0847784671280465,5.513061605593521,6.5441241541089425,7.259708169374562,7.174951048443177,5.65546930093933,
temp on open tree while standing at the height of: 174 cm,-4.307800284633117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.83099264468774,-2.195695733642424,1.5243308684096064,3.9117715418313423,5.347985778055545,6.419686115713603,7.167563488559381,7.1360306525102715,5.626282212282149,
temp on open tree while standing at the height of: 198 cm,-4.45918981100607,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.946701256449785,-2.32558655427124,1.3425426255566322,3.7094984625451843,5.167469083990909,6.261223906348505,7.055095715956668,7.0872393027822795,5.577628753507895,
