daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while lying at the height of: 84 cm,41.0390335034831,39.475500065605786,33.61754384664107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.505588020777623,32.78573444899371,37.379383068216896,36.987755240574245,28.486558980903112,31.786852242019506,38.40234466986618,41.470209713461486,41.5896306486635,40.325250318444375,40.149706195051465,
temp on shaded tree while lying at the height of: 102 cm,41.14568426477871,39.62380976786386,33.724703820309514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.559337825383693,32.91244877816433,37.51852852623347,37.04878156861787,28.389736922150462,31.814110290547717,38.29360906631962,41.35616561999586,41.46531396365492,40.24059715079699,40.19625579492208,
temp on shaded tree while lying at the height of: 120 cm,41.230166170566804,39.75336404015678,33.813409030118805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.605690091639588,33.02292057917475,37.63353293536812,37.0988811095458,28.307296068409812,31.835759066905155,38.19063583890767,41.24039878862203,41.34853447944346,40.155909090509454,40.234972100677794,
temp on shaded tree while lying at the height of: 138 cm,41.30256178771339,39.847057976458984,33.885714547228304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.653163605253383,33.10811690831457,37.733496844083334,37.1237013579497,28.23362079548025,31.853876789889284,38.099346900656826,41.126372496731676,41.23024647090625,40.08226006983716,40.268655260717935,
temp on shaded tree while lying at the height of: 156 cm,41.34870698352819,39.942675244081386,33.95062420110378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.692157013794656,33.19497353971002,37.81751359396014,37.16024439873172,28.16582161032926,31.877479579646035,38.01334741530394,41.01760913022321,41.12659586457772,40.00485214992756,40.27790748420068,
temp on shaded tree while lying at the height of: 174 cm,41.401406145585895,40.015155013964375,34.01744764303754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.722249481169513,33.264393603443466,37.88614735089567,37.18351798308265,28.106721787217964,31.89037158916102,37.920578257933016,40.918140718280824,41.0316176988938,39.935644659573654,40.299131362023616,
temp on shaded tree while lying at the height of: 198 cm,41.45001466580942,40.107633071314524,34.0852973038169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.77254512181446,33.354488493508825,37.973704127183964,37.208695319342155,28.03030526286733,31.906919689679285,37.81940785260133,40.79070548905656,40.89226744108578,39.851154987772645,40.31354915174529,
temp on shaded tree while standing at the height of: 3 cm,38.27760984938641,36.8742752851922,32.41899267299101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.813321826139315,31.210226975371768,34.692911010169496,34.731778823468176,29.614612065789913,31.100806047700132,37.2300254969208,39.910902057500664,40.04259280938544,38.682985819837995,37.55462555475924,
temp on shaded tree while standing at the height of: 12 cm,40.93964472024203,39.3556644320862,33.54710671415506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.81938410031313,32.58978701527013,37.005557289933336,36.59273153725866,29.538995424469192,31.67376625335521,39.15988989544229,42.53443199515658,42.610882039082355,40.86184319526774,39.70916858663702,
temp on shaded tree while standing at the height of: 21 cm,41.81677025195813,40.24485901746584,34.00541484346445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.893078796703605,33.14216140969171,37.82762205735344,37.208248355282706,29.413328198790964,31.87653475016475,39.589697291002324,43.154266901535664,43.17731158140231,41.39877726021206,40.40400910795569,
temp on shaded tree while standing at the height of: 30 cm,42.32284487382293,40.773415304777075,34.28899055117864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.96254609285279,33.494275833389906,38.330813604793946,37.55932452538036,29.304062203301612,32.00249748883863,39.724243770374414,43.37055894338772,43.407230133481505,41.6060980299693,40.7791149007511,
temp on shaded tree while standing at the height of: 48 cm,42.91135313981863,41.42158058916965,34.65811298554661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.078485499170313,33.945757423160046,38.940529307015254,37.94217889973106,29.12507261062592,32.14438572943368,39.80996317456521,43.49539506270048,43.53052400540156,41.75774266621818,41.19369202806092,
temp on shaded tree while standing at the height of: 66 cm,43.252418139856616,41.82751919177292,34.91063843894676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.17288697192305,34.25719426493475,39.33498145444162,38.188228871789875,28.985133952134674,32.23290004968567,39.77526186800628,43.47700100167805,43.49457195411537,41.78110807879506,41.434315436703514,
