daylight?,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.871892144844026,28.831841381325887,31.37781477231607,34.26513610407778,37.28968794674148,39.805226242005745,41.34179599064146,40.60241136554015,40.768352915197966,41.398898709766854,42.09406779565825,41.83126427616827,39.75888894564537,36.4691329735673,
temp on shaded tree while lying at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.901595018531793,28.749881732585095,31.321741845234328,34.17762775617484,37.1538132476868,39.629695344903325,41.14216223996169,40.441417669051475,40.58393324769321,41.221215619135705,41.94356676864936,41.71031014034634,39.66730216701626,36.41138625698159,
temp on shaded tree while lying at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.932943166881557,28.686093659342134,31.265146936566282,34.10480216321048,37.03963458281578,39.481465152456906,40.96707117999273,40.297580225001695,40.41649671030524,41.06570734504396,41.81097080658839,41.598595388260264,39.5744437646465,36.36151794526319,
temp on shaded tree while lying at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.95900694483231,28.632803334016614,31.223286924382535,34.04001845527927,36.93179401054215,39.3459048808175,40.8030108256699,40.164524951562726,40.26298037585207,40.924789940248274,41.68452645954051,41.49324778720364,39.492775205684154,36.310808401637644,
temp on shaded tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.97843140217833,28.589650342121388,31.189308269140668,33.98288413262668,36.83128771310726,39.216794263034785,40.6587547227864,40.04014686988353,40.12572153422184,40.79030747341204,41.57319350374445,41.39846079571157,39.41658744026921,36.26885311643122,
temp on shaded tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.006015179084443,28.54688693262767,31.152061453358385,33.92532511372656,36.73885342312968,39.11055902039112,40.52901833029222,39.930278655842756,39.992569896843406,40.670541601774744,41.46778814500129,41.31298235644874,39.34451758636783,36.23654004923077,
temp on shaded tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.02649757097123,28.499814329390915,31.110004898825025,33.857506708625635,36.63385561628854,38.96842737456842,40.36391449869234,39.788353757985305,39.841348259291976,40.522215791138706,41.33445999353802,41.20116499823433,39.263842754072016,36.1827393139356,
temp on shaded tree while standing at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.492807456652656,31.2669737991165,33.09183912433559,35.598917459891595,38.949455837045434,41.669781909653864,43.375894277616226,41.083543735847,41.56600178268906,42.16143618981715,42.701484355233504,42.440158913501364,40.66093340174626,37.63162690307695,
temp on shaded tree while standing at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.407390963040427,30.325789681855156,32.604277868086285,35.54315198075733,38.93704031145643,41.68124591722011,43.40305106920562,41.99812569335751,42.3158977643231,42.9231009894537,43.54908780619621,43.277287842730686,41.175357794572506,37.64010899912438,
temp on shaded tree while standing at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.411220364577048,29.95647028078048,32.39665190778453,35.44306292279515,38.79052021070589,41.51069642389689,43.20924352565089,42.1183078500153,42.368327442055204,42.9916692835713,43.65976662861374,43.405247512286735,41.22554605265725,37.586154273305226,
