daylight?,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 66 cm,32.31489256065322,30.775638631436152,27.93249932404683,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.115391549094568,21.57263636471015,26.171389048193305,28.981452160606693,28.695422791058718,29.240789741722153,30.211613484921827,30.844948221791356,31.31129207393343,31.855012186091813,32.28444732830758,32.278366813352704,
temp on shaded tree while standing at the height of: 84 cm,32.12115389746248,30.606515729775595,27.842961647665447,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.09199636570912,21.226978381382764,25.97787951167959,28.91334853261145,28.567682978203266,29.041205093476606,29.928257770092387,30.5059588708516,30.935136663511003,31.50256345619158,31.983195379358676,32.06517070846297,
temp on shaded tree while standing at the height of: 102 cm,31.962919375742786,30.477606695701866,27.765784323294724,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.078505780035016,20.939899599754256,25.83016746166504,28.861171638489793,28.464660509234363,28.886359499127252,29.69739221385413,30.220582006518043,30.60798226183391,31.20339478578478,31.72463017294575,31.8785865454264,
temp on shaded tree while standing at the height of: 120 cm,31.82702030423519,30.360834724458982,27.7035005284298,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.074326695412367,20.715810592923958,25.72071943231481,28.82834984696666,28.40202442558251,28.766279819339047,29.49249043280497,29.9711657073355,30.328654431945495,30.94918600889048,31.50930621503636,31.717275807140368,
temp on shaded tree while standing at the height of: 138 cm,31.70740239279769,30.26281457969543,27.655373923841182,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.065487042226607,20.52354699190522,25.62131383915255,28.80274805575499,28.329689118409817,28.653814503831768,29.322006511031816,29.760967723384965,30.085735306174513,30.73048546259946,31.316247813874952,31.579977387730764,
temp on shaded tree while standing at the height of: 156 cm,31.60044708888313,30.180778102367185,27.616730803345092,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.06463196541108,20.347841078854287,25.534805608872034,28.783345382336847,28.282818025652887,28.561350754230943,29.164670697265137,29.5697886454887,29.8682626521138,30.528735302392874,31.13947066728457,31.455396221968726,
temp on shaded tree while standing at the height of: 174 cm,31.496617660450738,30.094704930786804,27.573587789095484,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.05798920359922,20.202192038755754,25.460736698025073,28.769236442050044,28.23717272217533,28.47627828046876,29.02095522403755,29.397944818018857,29.66917137694145,30.34496897162495,30.985196312349785,31.34522575669962,
temp on shaded tree while standing at the height of: 198 cm,31.384204621039828,30.00860973410397,27.53287561366642,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.056708867018926,20.03034903710494,25.37474030443866,28.74400594613661,28.18122446718536,28.37398991699098,28.860661873235074,29.186783041576405,29.429889551932092,30.122890120671286,30.795095559998344,31.20940872287423,
temp on open tree while lying at the height of: 3 cm,44.74217066798792,40.744708495940586,31.652652827671716,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.95476234084208,33.20763289986036,38.54155366407258,42.005623746804645,43.13442133637375,43.389773615552826,42.82784077327801,42.55922585702683,44.124516970121874,44.90246080055323,45.20724058191581,42.74763028059101,
temp on open tree while lying at the height of: 12 cm,44.01486916040568,40.023475242771724,31.032428746285177,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.714556536961084,31.464741550681083,37.34283790237686,40.99564379971781,41.72424515304954,41.844288875043844,41.22529515059193,40.90067384153673,42.432252108385285,43.38400135024324,43.93582984316549,41.76791470738851,
temp on open tree while lying at the height of: 21 cm,43.492777848892956,39.60635183932038,30.754251320883952,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.642185779475028,30.76257952108824,36.80719811840726,40.449851068525334,40.907400086160806,40.868802171616096,40.15190004969401,39.76783694887325,41.272104677273774,42.33746422300453,43.05267477227102,41.102243187716454,
temp on open tree while lying at the height of: 30 cm,43.09572739751701,39.30964606395622,30.57072189024086,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.59789295164444,30.32363833234433,36.45128308980014,40.076031701584725,40.32413118543792,40.14857079339322,39.35918683275304,38.92395063109484,40.398273317807195,41.557159710254496,42.3886512134564,40.60347622257251,
temp on open tree while lying at the height of: 48 cm,42.49681903596104,38.875399757007926,30.318829000632945,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.550231704138525,29.75615259260735,35.97577228775174,39.535115873117036,39.47877927182168,39.10300395667724,38.1853228064914,37.66787434406518,39.11092464869256,40.39700821541669,41.40312881812889,39.86754940698461,
temp on open tree while lying at the height of: 66 cm,42.05709344348469,38.56408315466791,30.14864943329269,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.523623046852947,29.37811253186453,35.64520459916497,39.15053808974841,38.86501357394252,38.33192384537716,37.31475265210008,36.73993306657928,38.1510611261092,39.53904865176071,40.67159238513875,39.31735546452842,
temp on open tree while lying at the height of: 84 cm,41.698154086155625,38.31523033902931,30.013331580758916,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.502964831019938,29.10071009669332,35.391919696321,38.851051466920296,38.380315841230356,37.716353634585516,36.61722803089941,35.99885919992897,37.38199976532468,38.85252792511591,40.08273048897098,38.87995753936326,
temp on open tree while lying at the height of: 102 cm,41.400523606481215,38.10306237862358,29.908278397797744,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.486539182815477,28.873364685923264,35.18535617693044,38.60007839308929,37.973892544022874,37.20421958979347,36.03581120802062,35.3710817888084,36.740750339943475,38.27429632270105,39.58306822765661,38.51842751876575,
temp on open tree while lying at the height of: 120 cm,41.144676920398354,37.925634741438216,29.8106621203234,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.475825035369553,28.687300137893146,35.01240909291238,38.38979319905485,37.63214572438335,36.75975878848453,35.53238448920678,34.83113569553791,36.181373152471735,37.773837109324404,39.16382644340905,38.20080633415438,
temp on open tree while lying at the height of: 138 cm,40.91124272026474,37.77527435645203,29.73609677694367,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.46743392117918,28.529158541596644,34.85963117701277,38.19929766116678,37.328400835027026,36.36838005868401,35.08774510261941,34.35794296340663,35.69626020239809,37.33748884681495,38.78218447584692,37.92081197150611,
temp on open tree while lying at the height of: 156 cm,40.70851154583329,37.63482209661851,29.66663990427196,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.456640014228924,28.381570262282082,34.7267215216188,38.03540988291462,37.056421956672466,36.023185761141235,34.69218131592385,33.932650643342754,35.253767630010714,36.94098599832955,38.4476396527412,37.668055482623345,
temp on open tree while lying at the height of: 174 cm,40.52161755764223,37.504950280732146,29.607558939313037,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.447700908907905,28.261334667406004,34.60729216228788,37.88755483746888,36.814713760766836,35.7112134530139,34.33496863570042,33.54922323125237,34.85821263107937,36.58694867585518,38.13975192469741,37.44258659119345,
temp on open tree while lying at the height of: 198 cm,40.29297335540235,37.358245711436666,29.526759493998156,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.44378872858607,28.115143022744576,34.466027368937375,37.701717984725235,36.522218115104124,35.324699213981205,33.905858893472214,33.08456431525923,34.380507135327036,36.15315859009547,37.773415571822284,37.167715575573766,
