daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 198 cm,-12.578339488449501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.848856107239897,-12.391677977701931,-12.316716590321107,-11.887956484728647,-11.40324624247495,-10.792109593035661,-10.11622459358,-9.572737244050415,-9.323584638132672,-9.419716428607558,
temp on open tree while lying at the height of: 3 cm,-10.206654691404083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.776149708589742,-3.586594391005974,1.252775736054275,3.7812808195156435,4.968843188331505,5.548140364784956,5.821331860214343,5.378576924378024,3.689285833949043,-0.20760005379992208,
temp on open tree while lying at the height of: 12 cm,-10.971729017846712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.145362244642286,-4.104538047885626,0.43131435221079073,2.7547955840518625,3.832023647036806,4.393977508463138,4.7429737036283655,4.449547335327338,2.924696128129824,-0.8644088282027838,
temp on open tree while lying at the height of: 21 cm,-11.262054890366073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.257583704374326,-4.2959003387447865,0.09081018159554333,2.2963912466165652,3.299411270066628,3.8423685824172367,4.224999917803984,4.002424749912109,2.5762656356216667,-1.1560486352364592,
temp on open tree while lying at the height of: 30 cm,-11.443714625204223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.30465767923431,-4.409235225085581,-0.11835601928146389,1.9923629985453317,2.9427420253587684,3.4737259940476974,3.8740793415370263,3.7088668116178383,2.3492596992608696,-1.3442134859304247,
temp on open tree while lying at the height of: 48 cm,-11.687294130274836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.37614751626171,-4.54627503473705,-0.4135203611006091,1.5765205150593147,2.4534136691893877,2.9591393578894554,3.385117016673462,3.2948932258793207,2.0312805471759248,-1.598937856212217,
temp on open tree while lying at the height of: 66 cm,-11.848864281996555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.413238119161974,-4.648482124558257,-0.6102254149502073,1.292102232818138,2.104934288460697,2.5887285899154904,3.0428413575937725,3.003332392758864,1.8075636469239953,-1.7733543588158227,
temp on open tree while lying at the height of: 84 cm,-11.963701840197302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.419138281916617,-4.720153494042677,-0.7577499712536451,1.0714968875367958,1.8393341587002396,2.30340808660668,2.772292232764073,2.7772569599687813,1.6415902149032604,-1.9116262661923429,
temp on open tree while lying at the height of: 102 cm,-12.058845964398472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.443187847870036,-4.759511212260577,-0.8777627645071675,0.8864580774314277,1.6136556916799236,2.069947327683394,2.5455943013321303,2.5928898714813613,1.498676047268475,-2.0228202712856387,
temp on open tree while lying at the height of: 120 cm,-12.141090178229604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.453667854833213,-4.8153107929509815,-0.9840405293583672,0.7317001535759005,1.4284503135294244,1.875189855041583,2.363050238839719,2.4346357622417827,1.3758079957493692,-2.1128426254251167,
temp on open tree while lying at the height of: 138 cm,-12.209551548288175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.443385076038453,-4.836011066346998,-1.0702269261556694,0.6012948880183444,1.2675592820714883,1.6969472600889617,2.196542349855463,2.299390485399499,1.2764779305052798,-2.199241829414291,
temp on open tree while lying at the height of: 156 cm,-12.265491923178843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.441058872127428,-4.877726778754834,-1.1408026758761594,0.4767389152856367,1.117543478342725,1.5430474376217376,2.051562727819089,2.1783376761142677,1.1846684448348697,-2.2637482176854746,
temp on open tree while lying at the height of: 174 cm,-12.315159871222534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.446856285396734,-4.902155418978737,-1.2194059049886619,0.3705107324325354,0.9931790918375896,1.4070769447263842,1.919324057802612,2.0632095705727806,1.099124298596621,-2.328571799413112,
temp on open tree while lying at the height of: 198 cm,-12.384170489791472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.460944280780836,-4.9262879308267316,-1.2981268117888476,0.24423562752593853,0.8405716361854729,1.2429991792308783,1.7666889464005067,1.9354373960911744,1.0016139262596084,-2.4050977253631345,
temp on open tree while standing at the height of: 3 cm,-9.602730661075327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.090410761629414,-5.477661540368729,-2.7702307235742865,-0.840850822871289,0.25559399051655873,0.8740492397427033,1.1672736620910769,0.8522507352345201,-0.3460042200033513,-2.8120299809611993,
temp on open tree while standing at the height of: 12 cm,-10.688313160929056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.789473814768144,-6.290893691874601,-3.8431718364022913,-2.0709431122455726,-1.047128550315847,-0.4112266927240853,-0.019478291977520712,-0.18714593776684296,-1.244620883084849,-3.6266619672238107,
temp on open tree while standing at the height of: 21 cm,-11.100089822205234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.079336003416472,-6.5925809642061495,-4.2864238761529805,-2.6289254943847027,-1.6747143710941828,-1.0507838877409768,-0.6148163361826278,-0.7064902978772807,-1.662913441825765,-3.990911111190144,
temp on open tree while standing at the height of: 30 cm,-11.358061375995476,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.227702545007503,-6.772886968786622,-4.5589842301266685,-3.0032059401743254,-2.100746469434341,-1.4829463241250096,-1.0236104739353777,-1.0521921993364458,-1.9386935884801915,-4.227755503451249,
temp on open tree while standing at the height of: 48 cm,-11.701524349361762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.43991167083567,-6.992727945241256,-4.945389927249153,-3.515154674495818,-2.687989939637532,-2.0934937167508565,-1.5992917949533876,-1.5436724548762868,-2.326371852870068,-4.547543854565561,
temp on open tree while standing at the height of: 66 cm,-11.930133772323131,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.5658923458966,-7.156777130829994,-5.202089929721069,-3.8676899019806115,-3.111157668976489,-2.5372866209752374,-2.006808473764522,-1.8932537658468505,-2.5996029843678343,-4.769031582714376,
temp on open tree while standing at the height of: 84 cm,-12.092949262578713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.630882586326777,-7.271281328986504,-5.394018112759682,-4.140968604138209,-3.434096077261927,-2.879888195562728,-2.3302865295516995,-2.1656416997388988,-2.804780530438336,-4.942472284548273,
temp on open tree while standing at the height of: 102 cm,-12.226990616812031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.709571343069001,-7.336134176590008,-5.550458742612193,-4.371603954365867,-3.7103124998332078,-3.162936851947393,-2.6035719210761954,-2.388651110794399,-2.980908747581452,-5.083485239091999,
temp on open tree while standing at the height of: 120 cm,-12.342178183978262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.760735330092302,-7.425017261617199,-5.689194353754203,-4.565007122623911,-3.9366762559905624,-3.398687992955047,-2.8239103654965447,-2.5804538366071483,-3.132418425545893,-5.198329148889059,
temp on open tree while standing at the height of: 138 cm,-12.439720677628372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.778985158934574,-7.46259264937089,-5.803314456257681,-4.727484556815114,-4.134493200017971,-3.6149470567809203,-3.025429718192811,-2.745581524099407,-3.2565369528282417,-5.307876709735979,
temp on open tree while standing at the height of: 156 cm,-12.518971884790858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.80373973676086,-7.528450963294858,-5.89461004669738,-4.883745588505178,-4.318726100290519,-3.802598945569457,-3.200122098679458,-2.892276704927042,-3.3696621926802663,-5.390210814342993,
temp on open tree while standing at the height of: 174 cm,-12.589055680896479,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.83524001172367,-7.569034945132785,-5.997629155120819,-5.015561504735842,-4.472470947174315,-3.9686966195234845,-3.360832518308598,-3.032640620224697,-3.475958477747838,-5.473008012372077,
temp on open tree while standing at the height of: 198 cm,-12.6848930119329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.886527893072184,-7.60918604544446,-6.100828176427342,-5.174330292710408,-4.660474776693093,-4.1688648502085925,-3.546686876980573,-3.1891412416676985,-3.597404216454663,-5.570507110820131,
temp in the burrow,-5.940008544921852,-5.880010986328102,-5.859991455078102,-5.889990234374977,-5.959997558593727,-6.060003662109352,-6.179998779296852,-6.290014648437477,-6.410009765624977,-6.509985351562477,-6.609991455078102,-6.690008544921852,-6.750006103515602,-6.810003662109352,-6.829992675781227,-6.840002441406227,-6.790014648437477,-6.699987792968727,-6.570013427734352,-6.429998779296852,-6.290014648437477,-6.139990234374977,-6.009985351562477,-5.889990234374977,
