daylight?,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,
temp on shaded tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.744525677053275,-17.435821667605666,-13.748213306805894,-11.983893256346391,-9.993669622501386,-8.647797868655573,-7.344403494701908,-6.498827127420725,-5.8210377065145735,-4.838609686356278,-6.870196192974049,nan,
temp on open tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.203122136184788,-4.982869328986681,0.01566656453928772,2.5387633035713293,4.2204952521772725,5.073050075956758,5.554925273008735,5.117897447187715,3.533729432789528,-0.024510765305706173,-5.648092418850013,nan,
temp on open tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.86271318445074,-6.845823197448169,-1.640704506597217,0.9400865433739227,2.7420136707058873,3.6983213541909663,4.348009287821526,4.086749665949355,2.7208005814436547,-0.5070362523795211,-7.974663237353866,nan,
temp on open tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.461644504275398,-7.556698905486428,-2.2853632070252274,0.2947810868566876,2.1122082796433688,3.1148208361372554,3.823283979399946,3.655698307958346,2.3997925058967553,-0.6946732975307555,-8.087419482918733,nan,
temp on open tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.827980043738137,-7.987990259456581,-2.6905935160867784,-0.1337729621503172,1.7080316178061707,2.7322415704969103,3.4947246026663947,3.3730616831334146,2.1915668832239135,-0.8167824616693906,-8.139572532769648,nan,
temp on open tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.302473582351865,-8.571021213377549,-3.229598394583718,-0.6855302961686789,1.172504211188027,2.218336158476859,3.036613619866557,2.996749912602297,1.9212752000618138,-0.9526843315657629,-8.195344144512035,nan,
temp on open tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.616167107476826,-8.94300140997774,-3.585972338050965,-1.0566394739935276,0.7938603645179683,1.8691394545907656,2.7223686914127825,2.7427034250793554,1.7323498076680721,-1.0506644895276054,-8.237062891588664,nan,
temp on open tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.826730442291876,-9.235140155460442,-3.8591911231256404,-1.341099072180043,0.5212122243542581,1.6059496902930164,2.4897812353551103,2.5447867807336593,1.5957276086112984,-1.1142342604453574,-8.249499873768457,nan,
temp on open tree while lying at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.014981435953189,-9.457052063161257,-4.076528259422673,-1.5677361521291004,0.29488439410044975,1.3857372849125795,2.293791996119012,2.3935601041139876,1.481224534130888,-1.1586153066893985,-8.278007734090124,nan,
temp on open tree while lying at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.175627455498102,-9.65745151322318,-4.252839555863204,-1.7727559698410005,0.10225846864693722,1.2045685783052136,2.1327438918478947,2.2521851228388527,1.390433315263806,-1.2022432078616134,-8.286443840634035,nan,
temp on open tree while lying at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.285160878258921,-9.817396180235676,-4.404943024496902,-1.9415977434530305,-0.07057422214148801,1.0344667879164149,1.9889431758317073,2.1412422480469218,1.3105540880083595,-1.2500820442033955,-8.286130647078494,nan,
temp on open tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.393547745247929,-9.949549494288988,-4.5567731369153535,-2.081209311968962,-0.2161376867288709,0.8973133688531334,1.8697007576135434,2.040486440084635,1.2479621261775833,-1.2799617202845752,-8.284984864220405,nan,
temp on open tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.507698325253614,-10.081134012978964,-4.668288231789916,-2.2210098459495953,-0.3488515086272628,0.7716173838215354,1.7570293038283467,1.946328257811956,1.1853902706715758,-1.3095654715273213,-8.293039607949822,nan,
temp on open tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.620854908824299,-10.231356795679574,-4.819692973531971,-2.360988768869106,-0.495317341367695,0.6260625701889353,1.6183952989048294,1.8379030669822214,1.1055239243071355,-1.3338110523037017,-8.31141531656948,nan,
temp on open tree while standing at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.279193111878328,-6.1582413302321015,-1.9178698619442685,0.2540723843605406,1.9014637165601584,2.7447037142574686,3.2739569994498083,3.010567793086466,1.9357136316107812,-0.05600103248406185,-2.6035687977766884,nan,
temp on open tree while standing at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.74744327544505,-8.820906455764373,-4.2076142375552195,-1.8786657292943119,-0.003619161215112854,1.005430969613485,1.7617433410525791,1.6925013297245073,0.8413622411824235,-0.7947081316196432,-6.245123010786813,nan,
temp on open tree while standing at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.641479082295177,-9.836346209821954,-5.0957840115348745,-2.7376622706507305,-0.8176189750539606,0.26378576409058496,1.0981868970063147,1.1406896358817562,0.4102333157668454,-1.0818284984198385,-6.5127914946497185,nan,
temp on open tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.18756150636068,-10.451005888571558,-5.654595238525928,-3.3104281455152886,-1.3398298598190195,-0.22459093427096377,0.683558589174595,0.7780785432067319,0.1312726406006277,-1.2706006434511323,-6.652300346811273,nan,
temp on open tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.897057076210729,-11.282207926694639,-6.396043105908973,-4.045378708140788,-2.031141920375262,-0.8795623666425172,0.10233116782990237,0.29373252355838986,-0.23079527411397294,-1.4795224606097577,-6.818161061140927,nan,
temp on open tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.366200405661061,-11.810180326617967,-6.886010613093163,-4.539260266910162,-2.5235873354400837,-1.3266532207964588,-0.2963551045356212,-0.032114465230620226,-0.48407439441450606,-1.6304438734682662,-6.9370935981787625,nan,
temp on open tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.68195100894252,-12.226691282068714,-7.259581945198363,-4.916694779544343,-2.8763276863797387,-1.6632063611979788,-0.5908148415178403,-0.2860124096770278,-0.6685292551395605,-1.7285055672244312,-7.000049963055517,nan,
temp on open tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.962418762685218,-12.543178059929176,-7.559199068683824,-5.219843612305226,-3.16899632276494,-1.944537179274846,-0.8418949768675361,-0.48176182165281034,-0.8206553679635817,-1.7985221169510623,-7.075951890395004,nan,
temp on open tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.202540708431002,-12.828214763831227,-7.801433802656504,-5.493931507999832,-3.420021562537954,-2.1789256444521925,-1.0469451366189446,-0.6631188348943056,-0.9431972621276827,-1.8674292734513642,-7.119865679853831,nan,
temp on open tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.367963896646756,-13.054133663247399,-8.010858167253787,-5.717703516735071,-3.644654658862578,-2.397127677986532,-1.2293099327106347,-0.807566188066005,-1.0497905068493765,-1.9399234703362822,-7.14309416102185,nan,
temp on open tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.53171127276005,-13.24204978898723,-8.21988247023188,-5.903859824723611,-3.8345097373795056,-2.5747722313099075,-1.380839204729682,-0.9371321301368312,-1.133657969759554,-1.986169642533639,-7.165104197596293,nan,
temp on open tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.701210262651955,-13.42913451566011,-8.372564101247292,-6.090291232658956,-4.005582765291081,-2.7356694909527732,-1.5252804408116276,-1.05957233235074,-1.2174958475739004,-2.0320039611125935,-7.195296808516957,nan,
temp on open tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.869260814417146,-13.64345969928587,-8.580965735428265,-6.276982283040354,-4.1967530834321565,-2.923052486432539,-1.7026131740651635,-1.1978186582855415,-1.3240608845152906,-2.0726000141730196,-7.245835438422205,nan,
temp in the burrow,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,
temp in chosen micro-environment,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,
last micro-environment in the current hour,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,
time in the burrow in the current hour,60,60,60,60,60,60,60,60,60,60,60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60,
time in the shade in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time in the open in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on an open tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on an open tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on a shaded tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is foraging?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
energy_lost in the current hour,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,
digesting efficiency,24.833685201282027,25.827070678887083,26.82045615649214,27.813841634097194,28.80722711170225,29.800612589307306,30.793998066912362,31.787383544517418,32.78076902212247,33.77415449972752,34.767539977332575,35.76092545493763,36.75431093254268,37.74769641014773,38.741081887752784,39.73446736535784,40.72785284296289,41.72123832056794,42.714623798172994,43.708009275778046,44.7013947533831,45.69478023098815,46.6881657085932,47.681551186198256,
energy stored in the gut,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,3.353429132020563e-166,
maximum energy that can be stored in the gut,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,5626.803603567808,
energy gained today,-40.12287564444088
energy balance for today,-71.8762400893554
day:,18.2.2096
