daylight?,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while lying at the height of: 198 cm,21.995958111606853,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.17544193982826,21.434619430134376,23.836277851225418,26.182532435829273,27.979158878388944,29.842684552833703,31.906515057945228,33.013446070290286,33.79284396083665,34.262293829486396,34.432127033687834,34.182170146798,33.31119399187895,31.749387971958924,
temp on shaded tree while standing at the height of: 3 cm,22.931354006125957,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.869665575371187,26.372309040146263,29.075689302418994,30.23911071490346,31.24197429829826,32.57919882776116,34.33431886961887,35.46902159419869,36.34266836629996,36.81259821163087,36.77549997401536,36.16040155008005,34.896642289079864,33.351142104643486,
temp on shaded tree while standing at the height of: 12 cm,22.727658861006148,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.358106363832007,24.68058439770317,27.25111771600507,28.781560804431933,30.056407510825295,31.768008860881025,33.99320707609053,35.412585376775894,36.341198433845705,36.81943063937183,36.762882391384835,36.1298517297995,34.85716992547577,33.034013093743056,
temp on shaded tree while standing at the height of: 21 cm,22.673233523210968,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.181079439179086,24.027003878037135,26.538244498526524,28.231097110774954,29.612526711184557,31.428640932429346,33.77215293771542,35.24766437266152,36.17557910668211,36.65686819482505,36.617499044972305,36.015625802166255,34.77752597609344,32.894405287121,
temp on shaded tree while standing at the height of: 30 cm,22.641854084791248,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.07700581547863,23.598247041860873,26.09229971960167,27.898655611437675,29.347717613519364,31.2078767457254,33.59743651245287,35.08478033990224,36.006697457481664,36.48951135733762,36.47725272928864,35.899209905468354,34.69423560517498,32.8020989864101,
temp on shaded tree while standing at the height of: 48 cm,22.6128811180007,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.957737987697897,23.076422215214563,25.501003447539233,27.469042364036284,28.998744469975975,30.921475716194493,33.32894663033983,34.801475570404534,35.70866191612049,36.192184214422696,36.20994126953468,35.69580406963314,34.555611618820706,32.677782812297096,
temp on shaded tree while standing at the height of: 66 cm,22.602620834108052,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.891886805711238,22.74380936645224,25.125509442563498,27.174618972097278,28.778515306083648,30.71044616265391,33.12062300339852,34.5718334907329,35.45638701189728,35.9397651040141,35.9840449726326,35.525243092218545,34.44978632280248,32.59196805382385,
temp on shaded tree while standing at the height of: 84 cm,22.605878736717898,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.837595958435713,22.48095887912035,24.81745027062732,26.970469802402818,28.605137623234498,30.55254076414127,32.95429939653809,34.36813840433712,35.23541551866748,35.71847241902083,35.791761404259944,35.38299925163358,34.348154936069875,32.51849228191526,
temp on shaded tree while standing at the height of: 102 cm,22.599762243377768,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.805573480811915,22.26981241516438,24.599253222449875,26.807811972690217,28.48497758614957,30.433019299511386,32.80647313973776,34.196510804144,35.045556296313976,35.52831578863885,35.63170408296247,35.255434192169105,34.26291578525104,32.46422194368648,
temp on shaded tree while standing at the height of: 120 cm,22.597834383673444,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.775193249417043,22.101844029025415,24.409696730936105,26.669577294117175,28.368569108660438,30.325256469851695,32.679336196149904,34.041902075304506,34.88088938749513,35.36272428098988,35.47770021604322,35.14477228201042,34.195766855582235,32.41391936546904,
temp on shaded tree while standing at the height of: 138 cm,22.599729629503827,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.751704726674006,21.95558377894173,24.23389982299784,26.554669073689183,28.28116274980397,30.228964788265614,32.564518003531475,33.90399238486094,34.722926314354424,35.204395276856985,35.35175564121721,35.04294515767191,34.12772667258076,32.36751740210883,
temp on shaded tree while standing at the height of: 156 cm,22.603754118103723,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.735750229502855,21.83029140449952,24.085556474993894,26.462726130143892,28.20449203925631,30.15330851127527,32.46288834542122,33.77625624803903,34.583710612128925,35.06492770411472,35.22404136927929,34.94968159372934,34.06940567937767,32.334746084307426,
temp on shaded tree while standing at the height of: 174 cm,22.609804793887918,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.719716217591895,21.725426132619646,23.95700070330207,26.36423679959904,28.13893506637885,30.077716570647624,32.37525424932477,33.65755240704448,34.46500850368403,34.944902278303005,35.11593676847582,34.86656594211121,34.010476721565965,32.30400200350232,
temp on shaded tree while standing at the height of: 198 cm,22.61361870572756,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.69841301410895,21.582492033372034,23.810307868000223,26.266644329729047,28.04613646095521,29.99649180734491,32.26789650338793,33.51232755992788,34.307568947482594,34.78705113544828,34.98149330854085,34.76918299070388,33.938390711298666,32.26121354865904,
temp on open tree while lying at the height of: 3 cm,22.591653290893817,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.992455950732506,30.43463024886904,35.09553801431349,37.4818859878099,38.89079166799655,39.712802810624396,40.35905980892437,40.95434440673961,42.48451833216262,43.953479548660766,44.56549063309865,43.90339054521377,41.56103096300353,37.41192336302731,
