daylight?,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while lying at the height of: 120 cm,40.28912783701378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.85825816663839,36.20521586620674,38.82661646637911,41.214818131318566,43.06001074395698,44.16957254754914,45.25063554242075,45.91250234246547,46.20582313347495,45.92406388008709,45.4256910679872,44.69723707107147,43.857568196403236,
temp on shaded tree while lying at the height of: 138 cm,40.26471864034619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.85075447957928,36.127975529030664,38.72630859851711,41.11059545271627,42.93659897619051,44.00367497464157,45.067443223220835,45.718994220009904,46.0157719634135,45.762621103391155,45.29847344993948,44.63899418341555,43.876992892263615,
temp on shaded tree while lying at the height of: 156 cm,40.24940890632644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.83546538813539,36.065456678847454,38.632980561166335,41.01745312369053,42.81458458922833,43.85091509339151,44.89722647216763,45.548802019991456,45.846389236147786,45.60725783894799,45.185828475747485,44.58337103550622,43.891297022572644,
temp on shaded tree while lying at the height of: 174 cm,40.22603202574868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.82757486881843,36.002685793602836,38.545944278212176,40.92668593568288,42.71047223725731,43.70987835846921,44.74426285430826,45.38017352354291,45.68835481468278,45.46839300584435,45.08244562604938,44.53814118197158,43.90859850125082,
temp on shaded tree while lying at the height of: 198 cm,40.201600972809274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.81175320052671,35.92990805574078,38.44028420405874,40.82173319386254,42.57421223102989,43.54408056977837,44.551833426777705,45.187557876001904,45.497348435102595,45.29312319171146,44.95157664673559,44.47423192011166,43.92525350180978,
temp on shaded tree while standing at the height of: 3 cm,41.57407072575279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.70621859528853,37.71242902710139,40.690564594231205,42.34014002355423,44.20381796428558,45.66551929907553,46.933228267964864,47.70661809958318,48.01096155096343,47.69221427323055,46.926524673519225,45.65355203700523,43.86786356113629,
temp on shaded tree while standing at the height of: 12 cm,41.434317509806306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.71948882761444,37.70284717139924,40.6866316617253,42.90663162185041,44.91871273294987,46.39738517147987,47.73674335527562,48.49160494280625,48.70845861051464,48.232728688612895,47.29847148954923,45.884499049728674,44.31541344067432,
temp on shaded tree while standing at the height of: 21 cm,41.356369224420746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.70643201796332,37.61490993666723,40.5571754190903,42.94147672488623,44.982202773770496,46.42317166597809,47.75135664916718,48.47998258876777,48.69300561197315,48.18912213721336,47.267607956327026,45.89208482617073,44.39065267984529,
temp on shaded tree while standing at the height of: 30 cm,41.30490501149586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.69180897847809,37.51709551620672,40.41522360352309,42.897203336732105,44.930097995077574,46.32676202585617,47.624773068288846,48.35666054858791,48.569035086672216,48.06295616748815,47.16897924734428,45.865664565738996,44.44285686014308,
temp on shaded tree while standing at the height of: 48 cm,41.227138815722924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.6685837847059,37.349423117363756,40.1752488872238,42.7500180753637,44.76150357105985,46.069864645059795,47.3348751061049,48.03752399898343,48.250282294950466,47.76890968738684,46.95223487925551,45.78170563980518,44.513324723156416,
temp on shaded tree while standing at the height of: 66 cm,41.16678671316572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.64804559983253,37.20320361960006,39.970251049844876,42.59949918797594,44.57343072139071,45.81926212667571,47.04030255250399,47.72723450714926,47.94330188278201,47.48885397991273,46.744930319575474,45.69765303518784,44.56675419771773,
