"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
4382,41.55847549,-103.493927,"past","not climbing",285.2326904,12.82047413,299.1193081,8.147129744,272.1093854,7.281789252,320328.2362,8.185125967,1443.891667,172.25,85.35,296.85,211.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4414,51.83324051,-104.0653534,"past","not climbing",276.7866415,15.02641924,292.7278918,7.105199184,259.5362458,8.499782839,184996.2546,4.422896878,852.2666667,116.7,120.45,269.1,148.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4470,29.10426331,-102.6200256,"past","not climbing",292.4980561,9.801601273,300.0237743,7.361271992,283.8528885,7.591958198,507800.8949,13.39686588,2253.501667,296.55,11.1,358.4,347.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4502,39.6062851,-102.9789429,"past","not climbing",285.3356698,12.45244393,298.2715976,8.281473689,272.8165935,7.318955859,310913.3243,7.923391415,1402.496667,177.25,83.2,300.8,217.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4535,50.26964188,-103.4689941,"past","not climbing",277.7725339,14.80300498,293.5367959,7.413878926,260.8356896,7.74937017,205250.7899,4.985972959,937.055,124.85,116.4,273.25,156.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4591,27.48028946,-102.2043457,"past","not climbing",291.6634029,9.17360127,297.9953204,7.265428133,284.2148662,7.631228373,507208.2298,13.38038979,2229.828333,299.5,7.25,360,352.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4623,37.9752121,-102.500061,"past","not climbing",287.6908272,12.56435714,300.4122299,8.35306892,275.0815995,7.592604174,346471.9728,8.911921843,1576.683333,200.65,64.75,307.35,242.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4656,48.69086838,-102.9013977,"past","not climbing",279.3025271,14.63138214,294.7718252,7.563621147,262.8556581,8.268416169,230365.4162,5.68415957,1045.245,134.5,110.4,276.7,166.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,43.22808075,-121.1542053,"past","not climbing",281.666958,10.96569917,292.3344305,9.881839468,272.0271236,5.87117038,241474.2571,5.992985347,1065.815,139.1,114.35,285.55,171.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4745,36.99736786,-102.0576477,"past","not climbing",289.3446748,12.22512714,301.7956574,7.774595295,276.7581984,7.30101794,354527.5096,9.135865767,1657.651667,220.75,48.25,313.65,265.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4778,47.74014664,-102.3832703,"past","not climbing",280.5421757,14.42155371,295.9501175,7.695559539,264.5959699,8.257135365,250549.2689,6.245270674,1134.158333,142.4,109.1,279.25,170.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,46.39109802,-122.1412201,"past","not climbing",280.7850546,8.236291122,287.7566696,7.238065538,274.0359511,5.463908227,185181.0492,4.428034168,845.57,127,103.2,286.8,183.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4868,35.35995865,-101.612793,"past","not climbing",289.3311413,12.23530611,301.2036091,8.256818026,277.0791775,7.861496231,339930.0172,8.73005548,1586.86,222.8,46.6,319.6,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,38.89666367,-122.9700623,"past","not climbing",286.8860999,8.346819671,293.8536897,8.023097603,280.5963759,4.781884626,344499.3414,8.857082692,1528.123333,203.3,42.5,324.75,282.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4932,55.89757156,-102.1783752,"past","not climbing",271.0313217,15.96948098,288.4167808,6.479829239,252.9570062,10.42018212,89407.71658,1.765535521,445.085,66.85,141.35,250.15,108.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4990,34.37831116,-101.1950989,"past","not climbing",290.6009263,11.85386365,301.8459162,8.136511416,278.8486937,8.025293306,347038.2425,8.927664141,1643.553333,239.1,32.9,331.9,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021,44.52787781,-101.3646851,"past","not climbing",283.8662226,14.19750809,298.9666141,8.274459556,268.7044983,8.231598214,269314.1365,6.766933996,1244.255,159.7,94.65,294.3,199.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5054,54.98441696,-101.6074829,"past","not climbing",272.5231446,16.72377165,290.5692024,6.930553151,253.3984877,10.7560341,153645.7412,3.551352605,708.09,96,131.55,262,130.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5112,32.40987778,-100.7780457,"past","not climbing",292.931264,11.40026926,303.5892009,7.631821504,281.4496584,7.761971233,386776.7281,10.03239404,1857.625,264.35,22.95,347.15,324.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5145,43.23205948,-100.8934631,"past","not climbing",284.8533493,13.48924496,299.2446753,7.919693349,270.6446591,7.965494258,289700.8868,7.333685652,1337.106667,167.5,82.05,294.65,212.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5178,53.75344086,-101.0490723,"past","not climbing",274.7071705,14.94419041,291.656601,6.897104262,258.5078363,7.025823012,150508.5045,3.464137424,705.6433333,100.55,132.5,261.4,128.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5236,30.7710495,-100.3815613,"past","not climbing",292.8463668,10.67066599,302.4560632,7.450880006,282.5487791,7.644771685,388841.7967,10.08980295,1848.256667,266.65,22.05,348.95,326.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5269,41.60371017,-100.4369202,"past","not climbing",285.7243458,13.12727957,299.6854914,7.687429972,271.7134657,7.665176931,289829.3717,7.337257534,1354.046667,177.45,75.7,297.15,221.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5300,51.5696907,-100.5058594,"past","not climbing",275.2662837,15.33247323,291.2447869,6.485778625,257.6842402,10.01182352,180229.1184,4.290370491,821.8266667,112.25,122.15,268.2,146.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,41.70038986,-120.2644653,"past","not climbing",281.6675389,11.34055383,293.3512949,9.569270295,271.2781875,5.094133332,263051.4841,6.592832257,1155.163333,142.5,119.85,287.2,167.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5392,40.29597855,-100,"past","not climbing",286.3540432,13.25052523,300.0643696,8.217661037,272.2778852,8.106511679,282579.702,7.135716715,1335.216667,183.65,75.7,302.8,227.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5424,50.62468338,-100,"past","not climbing",275.3810935,14.97461251,290.9588599,6.605993618,258.3409342,9.749422992,167577.3641,3.938651722,773.5966667,109.3,121,266.6,145.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5483,30.11565781,-99.62133789,"past","not climbing",293.1706407,10.21957849,302.303584,7.095950251,283.3174007,7.45609361,409314.7783,10.65895184,1941.688333,268.75,17.8,351.3,333.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5515,40.62266922,-99.56878662,"past","not climbing",285.7842644,13.25621044,299.5319193,8.115588539,271.6343941,8.18225492,274430.724,6.909175128,1296.411667,178.35,76.85,300.05,223.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5548,51.25497437,-99.4967041,"past","not climbing",275.9424343,16.62243136,293.1894509,7.043309482,256.5888535,10.80338215,206807.5046,5.029249627,935.5333333,121.4,121.55,273.7,152.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5606,28.47837067,-99.25686646,"past","not climbing",297.1778936,10.12282022,305.7405584,7.382543513,287.384688,7.290503251,409369.6256,10.66047659,2055.815,311,3.8,360.85,357.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5639,39.30999756,-99.15228271,"past","not climbing",287.3521415,13.15147955,300.9913252,8.144376883,273.4168796,7.985216948,281918.2701,7.117328908,1356.77,191.65,72.65,304.6,231.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5671,49.67088699,-99.01828003,"past","not climbing",278.2256784,15.02709668,294.5744217,7.194498434,261.2495713,7.848102564,218098.5691,5.34314122,995.7916667,129,115.55,271.9,156.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,53.25353622,-124.1623688,"past","not climbing",274.7604239,11.09510125,285.6983829,6.289894383,264.4448298,9.331055038,74986.08991,1.364614299,374.8466667,65.8,141.9,259.75,117.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5762,38.65038681,-98.73919678,"past","not climbing",287.6669429,13.0768197,301.1737993,8.011796567,273.7931301,8.174327242,279634.2507,7.05383317,1358.451667,194.45,65.7,305.65,239.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5795,49.3490715,-98.534729,"past","not climbing",278.0164986,14.62525914,293.9243705,7.176197089,261.7290042,7.387648905,204320.083,4.960099308,938.6116667,124.45,119,272.55,153.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5853,28.79770279,-98.50823975,"past","not climbing",296.5287905,10.07986005,305.1527813,7.333202823,286.7661934,7.336813384,432259.0899,11.2968037,2115.956667,305.75,4.25,360.5,356.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5886,39.62945175,-98.2973938,"past","not climbing",286.8219341,13.39097832,300.7859045,8.065601112,272.3479973,8.174306686,275074.4582,6.927070939,1324.568333,186.6,72.55,303.7,231.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5918,49.97883987,-98.02703857,"past","not climbing",277.6383,14.89354339,294.0359678,7.051511271,260.8511574,7.203140923,202711.4592,4.915379565,930.6766667,122.85,120.05,271.5,151.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5977,29.44607162,-98.12127686,"past","not climbing",295.5339903,10.21028743,304.5609402,7.291864379,285.5520081,7.318946108,431985.2237,11.28919022,2087.616667,294.7,10.1,358.8,348.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008,39.6231308,-97.87188721,"past","not climbing",286.5647982,12.75934484,299.7773554,7.121873955,272.6418186,8.168354943,277619.6058,6.99782604,1339.331667,184.2,72.35,303.85,231.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6040,49.97175598,-97.53396606,"past","not climbing",277.5855731,14.96243528,294.016024,7.189540303,260.8851364,7.549532036,203281.7076,4.93123247,932.7516667,122.45,120.05,271.4,151.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,41.76583481,-119.8356628,"past","not climbing",281.579766,11.52018226,293.4820872,9.636489768,271.0201599,5.465993516,259267.3931,6.487634529,1144.018333,144.3,117.95,285.2,167.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6131,38.63165283,-97.47879028,"past","not climbing",287.236113,12.57380993,300.2082038,7.18763209,273.7024455,8.015134471,269576.8835,6.774238361,1321.71,184.9,73.45,302.85,229.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6164,49.32797241,-97.07006836,"past","not climbing",278.0325073,15.19936823,294.5558766,7.307574389,260.9484149,7.968738576,213613.6621,5.218460805,977.8683333,126,119.5,274.7,155.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6211,27.47246933,-97.42840576,"past","not climbing",297.0602264,8.232067457,304.0446022,5.545709499,288.9756202,6.625667211,509109.2903,13.43323927,2412.613333,317.25,3.1,362.35,359.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6244,38.29450226,-97.07119751,"past","not climbing",287.0456891,12.37166484,299.8107329,7.091533629,273.7382705,7.852507339,266293.024,6.682947068,1302.621667,182.15,74.9,302.65,227.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
