daylight?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp on open tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.748563257065598,-4.016850493578431,0.12202364585220948,1.4972429321812228,2.2750671615561373,2.6968953277785204,2.5613138350272493,1.233225534924884,-2.378809282059251,
temp on open tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.809040440631748,-4.121709880038281,0.005481614874383922,1.3435933169613463,2.111114301025964,2.5371668073885303,2.42767353924836,1.1434289391306152,-2.4197518728647083,
temp on open tree while standing at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.622021163278816,-3.2908181741000817,0.12169149859528261,1.6970884758901548,2.503434810462238,2.6912420147388048,2.1749941638908012,0.6052108076198124,-2.082614180049177,
temp on open tree while standing at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.51860883155598,-5.047162752753195,-1.5039741529352568,0.0005651809568689714,0.8066324984266089,1.0716513170651751,0.706730156552112,-0.650003129708864,-2.9204501140553702,
temp on open tree while standing at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.183124226582777,-5.698216536199141,-2.1847500781356644,-0.7462056470984066,0.04434296686582684,0.3432517300416862,0.06461272389509531,-1.1675969341412156,-3.206039510428411,
temp on open tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.591973891575776,-6.120447244860884,-2.617405853357411,-1.2302965156185905,-0.4748546036843777,-0.1473597070326491,-0.3664061744450464,-1.49523844297579,-3.400474550895808,
temp on open tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.103152924358142,-6.664970645599283,-3.1872379418445007,-1.8993799313227555,-1.1633886891402199,-0.8114110258781011,-0.9413610131792893,-1.9334012402616736,-3.618828250660613,
temp on open tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.41654518539093,-6.999333335202266,-3.5816054219538955,-2.3601474222322736,-1.6529040278319371,-1.2728981874496412,-1.3414781349538885,-2.2342386265009964,-3.777715742396424,
temp on open tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.650339996747903,-7.281910810460374,-3.8843394526376755,-2.7147788599817773,-2.0288439149691726,-1.63924788010371,-1.6438625190137373,-2.4552810419116895,-3.8755719306461174,
temp on open tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.827519393022726,-7.474833054422618,-4.123005789656929,-2.9988884743227118,-2.3355007989923138,-1.9312169971306048,-1.8891136121271757,-2.6465943938418945,-3.9557022618369047,
