daylight?,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while lying at the height of: 138 cm,17.67285200320606,18.613009097657994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.83979002923013,18.152745223949637,21.914027128350767,23.793065083264594,23.94731567391102,23.88772180020908,24.021835592192076,24.717810206933905,24.569213441846273,25.0543287482908,26.14724904796367,25.69429074392724,
temp on shaded tree while lying at the height of: 156 cm,17.441105617851804,18.449947273848807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.82714235984406,18.100622384306575,21.83099481766169,23.722965336145478,23.85884965434343,23.809873637528824,23.941742525420068,24.642806506127897,24.49252659500803,24.995110209430493,26.108745756709254,25.635123136030813,
temp on shaded tree while lying at the height of: 174 cm,17.225213573030544,18.30496267351009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.803941762040552,18.06384647282931,21.76179361070274,23.66818457291197,23.79700251044261,23.72740066606491,23.86756880741848,24.58678474660678,24.410882307051565,24.931013987088136,26.080912112417707,25.58441379193181,
temp on shaded tree while lying at the height of: 198 cm,16.97838078189136,18.142411609476994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.79265974985043,18.00682140996804,21.668893441472676,23.60022865247504,23.70505381994718,23.635629102077075,23.779365137838965,24.519681150799443,24.317275955378364,24.85612597106916,26.035320260686262,25.520368113411678,
temp on shaded tree while standing at the height of: 3 cm,25.37900109671284,24.269962588518524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.729547688691866,21.624347074813045,27.196295149892137,28.68667401918401,29.009811701400167,29.045358151359096,29.107018176090662,29.20862468965845,29.385052769936294,29.459421185156145,29.741682994125256,29.42059755166514,
temp on shaded tree while standing at the height of: 12 cm,21.7695432332182,21.759074218017474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.034463486848438,20.18078579722203,25.070753515857803,26.924163954779374,27.30566502754209,27.28682965723209,27.350828747108267,27.48659660766657,27.69314794535245,27.851374068898338,28.30238470289413,27.792567674528073,
temp on shaded tree while standing at the height of: 21 cm,20.285085099875175,20.731865785659068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.793520683496695,19.6650948641132,24.278295724139696,26.286488458793713,26.651354940832846,26.624216608136635,26.661558708125312,26.854408596608152,27.02748227456709,27.255742577245258,27.795999949279064,27.20984986171061,
temp on shaded tree while standing at the height of: 30 cm,19.317073642451078,20.079809026013947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.654217798970024,19.341969312385288,23.80171474613894,25.87972047487426,26.244178734221464,26.189721868563936,26.243141948318737,26.46708540394178,26.621507919232386,26.883084451801835,27.50122666488494,26.855735978898394,
temp on shaded tree while standing at the height of: 48 cm,18.054704313605214,19.211865305850324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.488294048591797,18.961477975547268,23.19425432560672,25.39455169755479,25.73528800479903,25.666786896437486,25.694851055894446,25.99814829255405,26.085296329046855,26.43210758200638,27.145275131854987,26.408363866829916,
temp on shaded tree while standing at the height of: 66 cm,17.19080914082315,18.619748200597712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.381821370877617,18.733144695317094,22.812661244080743,25.07744899635736,25.387463600120896,25.315989868876102,25.35735159384427,25.69804189052155,25.75089601386776,26.13359692632895,26.932687321223057,26.127632847384177,
temp on shaded tree while standing at the height of: 84 cm,16.544310955969934,18.182540070956293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.308673114024941,18.551823635100618,22.52627278239578,24.861499254883256,25.15052462632366,25.046175978761312,25.10258382993362,25.4752978613447,25.48329244569004,25.906967693685885,26.770638914995743,25.92449075410491,
