daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while lying at the height of: 156 cm,32.9306587698224,33.41657151925824,31.4508990695968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.63771979114256,28.373942046282878,31.325068121982213,31.559424582260874,31.592192615863382,31.28850323252192,31.15851441173055,31.295970011105794,32.00077733839345,33.95217844617804,35.32192579339227,
temp on shaded tree while lying at the height of: 174 cm,32.970550467623525,33.434631553202166,31.460659278703588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.56921265866481,28.327631980265664,31.317749299089257,31.520769782885736,31.52726154872238,31.201361265470325,31.063583309623937,31.201399685096305,31.93144210822919,33.890803727345826,35.23120859137873,
temp on shaded tree while lying at the height of: 198 cm,33.023472948961455,33.452978977586326,31.469817137472205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.490590301579232,28.27756802959493,31.314293300559427,31.48524516108961,31.449167780011578,31.087213547630483,30.945257860064544,31.095593086961344,31.846158125498846,33.81286929747739,35.1299825871227,
temp on shaded tree while standing at the height of: 3 cm,33.18166292280023,33.88442816348061,32.5038031179277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.731528134579776,31.24444472099458,32.84186014543076,33.469566240766596,33.978153375691704,34.15017830226378,34.19360006418094,34.210794758677935,34.349262478736705,35.81282867945583,37.48209779014218,
temp on shaded tree while standing at the height of: 12 cm,32.96626709018017,33.84482069501871,32.25898535120422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.046529802583905,30.192685103746328,32.36823505221611,33.006286295160976,33.490332129425894,33.582014781905286,33.590248714030395,33.607865626178295,33.90313381026539,35.63415413088643,37.348191946473435,
temp on shaded tree while standing at the height of: 21 cm,32.97853507432552,33.86595654718906,32.20518918462898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.406185440001025,29.79350180294324,32.21679684515806,32.80495032094228,33.22546557400415,33.250357895256684,33.22788156772026,33.26449404435391,33.643956517643176,35.46374608108073,37.15221157145919,
temp on shaded tree while standing at the height of: 30 cm,33.02063035738348,33.886680702421074,32.187773713442766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.01379466162649,29.542256818353962,32.1340208101862,32.671979157562305,33.03220107140305,33.006670226916526,32.96814311434525,33.010661588596975,33.45049590981267,35.322079253760876,36.97746585590596,
temp on shaded tree while standing at the height of: 48 cm,33.10855287270823,33.926172151754656,32.17158387154154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.51862058912161,29.232217211487978,32.03779320348957,32.49092175265923,32.76114321070435,32.6484664023331,32.58043408534735,32.64572138623538,33.16551443384225,35.10274876639244,36.692182529891,
temp on shaded tree while standing at the height of: 66 cm,33.18798589616836,33.958788884420755,32.179525580511154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.202840689975574,29.02253127226669,31.98394190869601,32.362565142944845,32.55820098735177,32.385457172743884,32.288228749908,32.374744389578325,32.958602040198116,34.93131403352277,36.4683189981975,
temp on shaded tree while standing at the height of: 84 cm,33.26476153529359,33.99108099302305,32.18250607264736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.957041177498695,28.871005294700694,31.946112279981207,32.272516054883795,32.401897321199044,32.174865561894364,32.06637649634604,32.1587321604228,32.788610956688444,34.7890848418329,36.282389585066596,
temp on shaded tree while standing at the height of: 102 cm,33.332711486943765,34.013487134794445,32.19631570997092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.77408655339127,28.74822925334621,31.920238669649223,32.1952581565522,32.27237590818123,31.994040436093712,31.874588688858864,31.984836013254096,32.651381438721785,34.665318510989664,36.120779002824634,
